Geographic Area Name,year,Estimate!!Total,Spanish,French (incl. Cajun),Haitian,Italian,Portuguese,German,"Yiddish, Pennsylvania Dutch or other West Germanic languages",Greek,Russian,Polish,Serbo-Croatian,Ukrainian or other Slavic languages,Armenian,"Persian (incl. Farsi, Dari)",Gujarati,Hindi,Urdu,Punjabi,Bengali,"Nepali, Marathi, or other Indic languages",Other Indo-European languages,Telugu,Tamil,"Malayalam, Kannada, or other Dravidian languages","Chinese (incl. Mandarin, Cantonese)",Japanese,Korean,Hmong,Vietnamese,Khmer,"Thai, Lao, or other Tai-Kadai languages",Other languages of Asia,Tagalog (incl. Filipino),"Ilocano, Samoan, Hawaiian, or other Austronesian languages",Arabic,Hebrew,"Amharic, Somali, or other Afro-Asiatic languages","Yoruba, Twi, Igbo, or other languages of Western Africa","Swahili or other languages of Central, Eastern, and Southern Africa",Navajo,Other Native languages of North America,Other and unspecified languages,Estimate!!Total:
Massachusetts,2016,6378533.0,548794,54710,73777,35274,180020,16915,4154,23101,38783,16411,4587,7724,6762,6463,10806,20675,7283,3319,5746,13693,24679,8185,8860,4854,124592,8915,16298,746,40023,22538,5565,7918,7646,2297,34654,6828,9789,14491,13825,11,1036,7211,
Michigan,2016,9335635.0,273083,21737,1528,16960,4796,34579,9899,7463,11744,19594,12510,11831,2336,3566,9433,17270,12794,5679,17268,9226,34984,10762,7179,7403,46425,11853,15605,4742,15277,1050,3954,4507,15345,2194,128073,2265,30547,6516,5007,11,2855,5225,
Minnesota,2016,5102068.0,194772,14670,992,2200,2561,20872,2901,1132,14073,2526,4293,4921,85,1979,2352,7759,2735,828,1605,5040,8898,5678,4103,2755,22503,3422,5532,60402,22963,6130,11100,12119,6331,2223,12422,1201,61821,10362,9029,63,5743,4744,
Mississippi,2016,2796802.0,67256,3983,105,644,680,3116,487,205,603,324,72,215,0,310,1167,1394,497,1077,389,1294,263,306,72,295,3740,1022,1718,37,5951,232,414,282,2837,477,2114,122,461,594,187,11,3984,301,
Missouri,2016,5685641.0,142678,12855,830,3692,2665,19927,10026,1154,7721,1422,11709,2277,220,1852,2758,5141,4089,649,1453,3716,4602,4348,2071,1572,20134,2506,6769,1063,13680,779,1958,2803,7379,3810,11049,1169,6243,3357,4174,63,923,1235,
Montana,2016,962396.0,12920,1770,65,499,243,6493,753,124,627,204,101,210,4,62,0,84,14,4,15,231,823,50,0,20,1222,521,649,0,235,2,217,130,835,286,497,235,28,64,108,178,6669,300,
Nebraska,2016,1750679.0,128899,4362,176,997,941,4546,460,299,1389,575,813,1655,0,630,368,1511,331,305,391,2557,1837,1413,588,343,4980,1427,1490,164,7908,82,1575,4654,1185,965,5170,116,2992,710,2356,3,1122,769,
Nevada,2016,2658732.0,561619,8436,493,4136,3574,8068,1504,1954,5684,2132,3388,3492,3148,4175,817,2897,1687,2155,1248,2170,3745,626,768,779,28503,6217,10969,36,9246,1270,7849,1391,75691,9526,6021,2329,10063,1230,1255,668,1883,2197,
New Hampshire,2016,1262827.0,26424,21260,731,1504,3229,3705,664,2516,1919,1210,1630,946,191,259,844,1439,644,160,429,3042,1886,1686,1383,784,5662,750,1296,14,1909,845,1068,543,1520,1118,2732,569,493,391,1175,0,61,785,
New Jersey,2016,8386947.0,1335729,36680,46110,69178,77118,22659,10147,22459,46701,60025,9545,22519,5266,7997,76782,72217,30263,16564,23431,22440,23142,29429,22170,17466,116434,10431,78100,32,18295,1054,2923,18296,79664,5718,67536,14564,3849,28291,6074,20,741,14826,
