Geographic Area Name,year,Estimate!!Total,Spanish,French (incl. Cajun),Haitian,Italian,Portuguese,German,"Yiddish, Pennsylvania Dutch or other West Germanic languages",Greek,Russian,Polish,Serbo-Croatian,Ukrainian or other Slavic languages,Armenian,"Persian (incl. Farsi, Dari)",Gujarati,Hindi,Urdu,Punjabi,Bengali,"Nepali, Marathi, or other Indic languages",Other Indo-European languages,Telugu,Tamil,"Malayalam, Kannada, or other Dravidian languages","Chinese (incl. Mandarin, Cantonese)",Japanese,Korean,Hmong,Vietnamese,Khmer,"Thai, Lao, or other Tai-Kadai languages",Other languages of Asia,Tagalog (incl. Filipino),"Ilocano, Samoan, Hawaiian, or other Austronesian languages",Arabic,Hebrew,"Amharic, Somali, or other Afro-Asiatic languages","Yoruba, Twi, Igbo, or other languages of Western Africa","Swahili or other languages of Central, Eastern, and Southern Africa",Navajo,Other Native languages of North America,Other and unspecified languages,Estimate!!Total:
New Mexico,2017,1953766.0,541385,5041,64,1290,939,6507,765,516,1587,474,344,343,84,1053,424,1019,412,195,256,562,1103,571,131,157,4873,1501,1663,44,3883,141,1180,563,3248,637,3576,501,184,524,716,63073,32452,560,
New York,2017,18621351.0,2810962,131977,156539,165083,42332,58604,159439,62474,222096,86153,31537,38397,7310,26034,19759,60457,77506,34929,120636,32164,84127,9518,10556,29567,588310,35353,102039,289,22975,4417,11581,49732,76127,11219,97158,65454,13037,90168,11301,185,3570,35645,
North Carolina,2017,9448581.0,704788,27865,4756,6719,7344,21493,4038,5239,11004,3610,3493,3905,370,4291,12942,17285,5931,2094,2781,11614,7680,11516,7785,4438,34508,6607,14413,9697,24155,3469,7348,10370,14568,6000,22187,1637,8404,9796,6778,145,1448,4664,
North Dakota,2017,693709.0,11806,1709,107,215,331,6401,526,56,632,384,871,531,0,141,69,553,42,33,172,1629,1651,94,49,9,1715,477,275,19,525,47,160,336,1353,307,946,47,1353,693,971,31,1455,295,
Ohio,2017,10914052.0,244874,24176,1730,13878,3889,46910,48996,8266,16947,7086,11130,14218,430,3952,8535,18750,5057,4475,3169,19518,14441,9688,6639,3297,45786,8891,11048,494,12423,4990,5139,7726,10598,3184,42618,2189,20536,17998,6476,50,1010,9459,
Oklahoma,2017,3631138.0,251108,5354,605,1041,1144,8105,1146,563,2094,516,395,449,128,1902,1254,2068,2243,326,1460,1576,1567,896,838,2676,9684,1756,4347,3250,17784,336,2188,4277,3857,3337,5093,619,737,2316,1909,406,14704,660,
Oregon,2017,3793273.0,343032,10592,609,2247,3062,14473,3024,942,22030,1273,1542,8262,569,4493,785,6589,1135,1063,1075,4384,8746,2475,1951,1484,29681,10263,9897,1820,24966,3269,4347,4919,10552,8789,8056,1479,6798,1247,2397,249,1784,1978,
Pennsylvania,2017,12078858.0,576232,37581,18461,36863,14237,44182,71145,13371,38484,18972,6682,17869,1842,4947,17345,23549,11626,4815,10814,18589,20082,12124,7183,14001,87245,6823,29007,712,36930,10543,4247,10703,16657,5124,36129,6696,5257,15034,6667,89,1010,8186,
Rhode Island,2017,1001567.0,119710,9395,8375,6281,30744,1967,163,1575,2101,1624,116,447,769,241,505,1789,983,44,463,880,1594,511,737,354,7401,801,1155,441,1771,4793,2643,848,1356,200,3035,364,249,3106,370,0,206,720,
South Carolina,2017,4603480.0,205469,10215,1060,2319,4055,11542,1489,2016,5949,1617,892,3548,28,892,4358,3451,1312,603,499,1191,2786,1348,1163,878,11735,2216,4769,1207,5509,1261,2135,1969,6957,1324,5326,829,970,1625,935,0,570,1817,
South Dakota,2017,795232.0,16416,906,41,286,126,5735,393,72,586,63,668,721,2,43,74,268,203,0,123,1082,567,235,57,69,1434,247,570,47,657,117,625,2237,1052,177,723,37,1896,473,1294,139,10441,226,
Tennessee,2017,6194803.0,248552,10931,1875,2276,2391,12233,3647,868,4305,1175,1130,1776,143,3261,5903,5610,2570,201,1398,4456,8323,4015,2015,1977,14774,4341,8417,452,9718,1535,6920,3400,7298,2135,23463,514,6039,5699,3601,34,678,1977,
Texas,2017,25437762.0,7498255,69428,7418,12216,24797,62527,10325,6503,23313,8945,7892,9799,1808,30612,31864,73089,77847,8855,19520,38441,21742,44226,27274,37866,164449,17713,56064,908,214373,11446,21281,25000,82851,19250,77686,6402,29839,58209,28643,1346,2551,9334,
Utah,2017,2739927.0,274178,7131,257,2186,9603,8150,2012,1033,3834,959,2668,1092,695,1842,380,1487,751,663,510,2899,3894,1362,1377,300,14553,4900,4587,115,7555,1575,3785,2085,4394,11608,4257,211,2502,651,1555,7578,2575,1184,
Vermont,2017,594807.0,5878,8558,121,812,221,2156,580,302,784,612,1397,365,96,191,131,302,171,84,159,2094,1033,13,0,57,1894,364,409,0,654,28,195,304,503,110,759,129,796,167,265,0,102,365,
Virginia,2017,7856030.0,544455,31851,5781,9011,9054,26706,4510,6023,17400,3540,5192,5358,1045,30531,10085,26218,32266,8496,14121,17355,15091,20356,10319,5619,59595,10269,56852,275,49744,6385,10251,12636,45823,5230,50869,1585,37476,22271,5164,76,834,6650,
Washington,2017,6721822.0,563389,22548,1232,4590,5743,28129,4871,2502,57825,4490,5310,29092,1515,8110,3518,26272,5405,16271,2749,9817,21734,9340,8893,5070,98241,26351,47992,1411,61224,16594,12534,9181,58642,30581,15944,3436,32340,5380,6002,446,3260,5702,
West Virginia,2017,1735798.0,17955,2300,228,1388,245,2642,217,455,453,381,55,211,11,785,477,568,434,8,467,861,460,639,207,187,2823,876,415,21,916,0,342,224,1473,375,2018,59,280,484,235,20,159,313,
Wisconsin,2017,5425745.0,249076,9282,440,3388,2115,31618,10775,1680,5335,6274,4648,3039,365,1256,1811,6028,3150,2400,1053,3087,7180,3876,2545,1746,16757,2086,4510,45546,4041,647,3700,4054,4921,1325,7899,766,2353,2844,1321,36,3691,1837,
Wyoming,2017,545743.0,27302,1292,79,401,127,2050,131,116,455,35,31,204,0,150,14,35,11,31,45,176,239,29,116,17,914,298,347,30,161,20,153,24,798,375,415,17,86,98,281,220,2145,215,
Puerto Rico,2017,3296764.0,3107078,1178,14,735,559,352,65,38,64,15,12,0,0,34,0,46,0,0,41,0,51,0,0,0,1274,91,18,0,147,0,0,9,34,31,448,65,0,0,13,0,6,199,
Alabama,2018,4572555.0,148420,7129,1163,1105,1395,7781,905,764,1771,544,157,806,129,892,2354,2782,1864,181,1070,2060,1248,2174,475,380,10049,1873,9208,29,7585,744,2270,852,3503,972,5806,329,492,1870,1615,106,754,1376,
Alaska,2018,684276.0,24378,1969,238,306,204,3229,337,256,5373,405,274,958,16,89,45,147,193,80,241,255,967,10,32,29,1433,1195,3833,3950,1072,203,2749,678,18126,5661,457,107,467,790,545,44,28970,592,
Arizona,2018,6510583.0,1338389,16818,779,6620,3593,20110,2973,2410,7409,5970,7166,3509,1364,7199,3874,12927,2776,2829,2768,6388,11824,7371,5467,3627,34917,7144,9983,149,23792,1869,4207,4214,26633,6843,25342,2511,9507,4054,7959,84658,28402,4198,
Arkansas,2018,2800360.0,149618,3205,174,747,683,4186,844,163,882,637,241,408,63,499,1336,1888,985,317,856,733,1165,1765,927,627,5608,1119,1675,1600,5043,344,4059,550,2566,6510,2516,102,106,583,493,9,672,505,
California,2018,36668081.0,10529621,127611,7583,57596,82114,99129,26716,21848,160325,19932,20222,36828,190976,201999,47651,192859,55208,139919,28176,54939,69889,62613,56036,34135,1217206,141461,368099,74328,548129,69744,81184,62201,798884,122238,183194,42624,62883,27645,14988,1488,6226,34563,
Colorado,2018,5195942.0,612425,17294,1008,4857,3843,23951,3042,2041,15178,4202,2742,5299,660,5731,1835,7670,1487,1295,1588,7129,7456,4103,3155,2065,24813,6053,14299,3055,19998,2129,5140,6872,8164,4654,11666,2096,13764,6276,4120,2844,1811,3805,
Connecticut,2018,3396521.0,400036,24767,17870,28209,35491,9173,2137,8136,9859,33306,5012,5548,671,1969,7293,13614,6846,1529,5465,5352,15769,5889,6225,3009,29080,3968,6173,157,7957,2166,3290,3733,7211,1021,11903,2337,1295,7604,2228,0,577,9132,
Delaware,2018,894641.0,62657,2529,3117,1568,584,1899,1676,942,976,719,257,665,22,610,2299,2416,824,271,1447,684,726,2427,1790,909,7463,305,1603,24,1244,346,472,1153,2966,325,1702,166,211,2780,2528,29,29,686,
District of Columbia,2018,639806.0,57321,9015,716,1694,1736,2691,519,584,2070,518,638,774,226,1524,437,1173,550,182,470,676,1975,155,208,370,5121,1001,1342,0,1068,121,105,655,2022,408,2375,553,6671,2315,618,25,87,918,
Florida,2018,19480719.0,4199678,106486,415809,46199,110832,61523,17578,20598,46295,22643,17499,18662,2163,10775,19550,27109,18124,2916,11259,10863,35550,12315,8236,12244,74711,12339,20365,1393,61725,5035,15604,15398,65966,9220,58147,21875,4360,8811,3781,80,2130,34062,
Georgia,2018,9641674.0,770037,38697,15332,4586,15287,22015,4284,2594,13553,2514,5631,5466,319,9247,24171,30549,14380,2215,8238,14537,12664,16036,10986,6559,49100,8689,47552,3223,45853,3825,7390,8270,13048,5251,18798,3943,21622,33356,10429,113,773,8619,
Hawaii,2018,1331641.0,29100,3285,210,1026,1504,3053,304,228,1251,452,275,539,90,524,42,832,34,29,35,524,830,160,184,83,33741,43031,19328,27,9415,384,3552,478,58832,126637,812,558,223,132,139,65,111,6080,
Idaho,2018,1573645.0,126615,2972,21,625,1334,3900,819,127,1325,261,1883,1509,44,486,72,859,283,246,70,858,1648,167,332,68,4697,1347,674,167,1652,47,1373,900,2344,1098,3431,136,166,280,1014,252,2510,582,
Illinois,2018,12044540.0,1616278,34574,5218,30577,7726,35792,6280,30235,42064,175937,28558,37987,1686,7385,46826,47542,51749,6258,5543,17063,49791,21015,14400,17355,105748,13641,41833,404,24328,3053,11135,14076,81617,6134,68241,5445,19595,22582,6877,62,1159,6394,
Indiana,2018,6219127.0,288582,10065,1439,3107,2674,30677,27048,3728,3900,3891,5167,4689,118,1593,3477,7277,3504,5662,1886,3414,3486,4296,3388,1974,28011,5884,6900,360,7649,532,2222,16159,8519,2778,11778,1030,2617,7925,3126,35,479,1889,
Iowa,2018,2935069.0,118709,6386,890,1111,1509,10706,4543,327,1579,549,7898,1166,48,510,1231,2921,1072,279,741,3460,1469,2456,1075,936,12313,1197,2859,928,8549,705,5296,6668,2947,2004,7986,437,2482,1777,4252,6,1218,870,
Kansas,2018,2714574.0,209025,4199,371,853,1957,10406,2056,278,2487,308,792,690,29,1437,1409,4327,1637,1150,1216,3223,1126,3710,1719,851,10728,2042,3788,1468,13207,1263,5199,3054,3579,2013,4761,254,3604,1496,3351,186,969,594,
Kentucky,2018,4165764.0,111393,7224,935,1168,1225,13845,6100,510,3482,633,4933,1445,59,1812,3185,3162,1552,454,450,4452,1683,1809,1228,832,7076,4205,3404,80,5093,1223,1582,4135,4570,1528,8096,299,4376,2842,4011,104,614,1309,
Louisiana,2018,4354277.0,161432,89943,5694,1964,2894,4734,643,946,1280,455,909,651,41,810,1066,2399,2054,442,550,1866,1268,842,680,546,8707,1663,2734,68,28941,1013,2820,682,5173,1125,9834,421,786,1725,1215,58,680,765,
Maine,2018,1268376.0,11461,35752,364,968,1538,2846,694,885,1132,642,550,700,35,509,125,306,216,11,70,352,1175,196,161,70,3480,824,430,0,1159,1213,441,314,1455,353,2508,121,2462,310,1801,16,1186,747,
Maryland,2018,5637261.0,450150,52157,14401,8267,12758,15956,3955,8722,21499,4341,1730,4678,1727,13916,10967,20484,20218,6963,7661,12973,6959,8787,6930,5179,69447,6738,38017,110,21932,2225,4745,9546,33448,4734,18158,5734,30888,48569,10558,99,381,11443,
Massachusetts,2018,6467512.0,581553,54927,81696,32444,190569,15202,3877,22094,40595,15998,4213,8913,6551,6394,11971,23447,7777,3890,6575,14663,24868,8906,10001,5722,134582,8408,15802,427,41976,23329,5822,9274,8327,2502,35090,7086,11128,15597,14965,0,1134,7295,
Michigan,2018,9385114.0,279967,20570,1396,15143,5338,32315,10822,6461,11302,19000,12407,12489,2321,4050,9166,19342,13915,6896,20172,9536,32014,14282,8763,8909,50366,12292,15463,5034,14373,979,5159,5582,16348,2675,138749,2191,33265,6193,5285,52,2817,5418,
Minnesota,2018,5175618.0,200863,15046,1572,1921,3376,19475,3005,994,14677,2655,4198,4653,88,2025,1854,8024,2886,1049,2013,6182,7866,6285,4257,3197,23981,3885,5333,62881,23106,6516,9660,15812,7331,2530,13635,1107,77738,11470,10223,14,5796,4704,
Mississippi,2018,2800187.0,68037,3452,345,764,708,2515,653,186,626,328,26,131,0,297,445,1619,453,1010,442,1086,230,736,286,305,3700,927,1295,36,5725,368,302,246,2843,368,2920,175,295,575,170,14,3710,383,
Missouri,2018,5717130.0,145831,11362,1098,3395,2583,19451,10553,1121,6480,1718,12585,2776,356,1739,3172,5472,4789,924,1365,3737,5245,4393,1983,2234,21988,2618,6803,1403,13451,935,2218,3448,7618,3322,12539,871,6356,3665,5355,130,884,1459,
Montana,2018,979922.0,14762,1983,59,528,323,6418,752,104,741,191,106,177,22,158,0,88,43,4,26,269,563,42,0,0,1378,526,502,18,284,2,301,184,1093,351,425,314,39,160,123,195,6433,519,
Nebraska,2018,1772948.0,131151,3879,174,616,1029,4337,583,324,1661,600,978,1460,32,930,221,1973,369,130,324,3181,2309,1604,869,652,4887,1317,1570,225,6961,58,1644,6224,1744,879,5387,73,3505,1138,2527,23,828,505,
Nevada,2018,2740538.0,583289,8117,422,4260,3871,7987,1782,1638,5229,1533,3190,3621,3096,4468,826,4054,1643,2177,1246,2064,4259,954,870,754,29334,6041,10927,127,9546,1224,6507,1844,79356,9563,4977,2425,11726,1191,1792,731,2197,2178,
New Hampshire,2018,1279543.0,27776,18524,652,1518,3288,3166,687,2214,1894,1127,1237,931,164,270,842,1853,555,202,326,4346,2014,2075,1459,573,5611,615,1432,5,2374,437,1467,700,1824,1222,3127,463,430,764,1522,4,88,779,
New Jersey,2018,8360161.0,1356058,35878,49122,64378,76644,19850,9413,21219,48861,57644,7838,21862,4598,6757,77005,75014,29038,16295,24466,21841,21395,29948,25921,16799,119432,9847,76921,15,17621,1044,3033,18812,77800,5125,66919,15134,4275,33802,6747,18,890,14980,
New Mexico,2018,1964077.0,535918,4920,100,1103,842,5869,681,550,1338,566,197,330,106,1249,622,1139,620,206,454,603,1084,483,166,257,5067,1382,1774,48,3929,112,1102,538,3830,625,3871,509,112,819,1060,64819,33020,645,
New York,2018,18454847.0,2769603,132208,149371,157840,42236,57406,163024,61486,216638,84143,31842,38890,7115,25069,19523,61924,73935,34263,120004,32965,83351,9858,10092,29587,578865,34300,97855,282,23222,3965,11932,51906,75807,9900,102898,66872,13961,90187,11458,128,3748,35169,
North Carolina,2018,9552431.0,716899,27518,5840,6863,8421,21130,4107,5283,11799,3588,3798,3753,382,4468,13312,19215,6112,2373,2719,12361,8345,13164,8649,4888,36635,6959,15342,10304,23205,3448,7675,9732,14188,6448,23405,1798,7355,11381,7199,127,1773,4426,
North Dakota,2018,699381.0,12684,2122,184,116,236,6258,454,30,571,543,1010,376,0,226,164,532,98,44,165,2067,1578,74,42,7,1511,499,460,27,567,40,149,142,1473,231,1411,55,1908,1023,1435,59,1617,370,
Ohio,2018,10945946.0,250520,24488,1994,13187,4076,45729,51220,8373,16514,6858,11046,14096,555,4039,8518,19994,5102,4698,3557,23539,14677,10264,6865,3719,46268,9538,10772,563,13277,4702,4880,7830,11388,3492,44747,2220,22240,19249,6072,52,1020,9037,
Oklahoma,2018,3654145.0,259532,5071,543,926,1416,7516,1348,414,2120,513,366,563,146,1984,1322,2302,2340,254,1660,1931,1452,1125,1024,2677,10231,1766,4275,3435,17206,392,2448,4191,4017,2625,5652,691,836,2953,2120,407,14295,768,
Oregon,2018,3850016.0,350236,10665,584,2732,3155,14548,3008,923,20986,1297,2023,7463,494,4574,880,7241,1223,1032,1477,4311,8924,3354,2067,1545,31001,9874,9968,2307,25995,3585,4816,4802,11520,9283,8069,1487,7596,1482,1799,311,1679,2231,
Pennsylvania,2018,12081931.0,592883,37285,18327,35766,15277,43885,74189,13134,39418,18553,6472,18465,1697,5448,19647,24568,11709,4899,12557,19867,20249,13314,8184,14048,88410,6476,28390,569,36618,10189,4838,11357,16044,5723,35767,6316,6138,16919,6107,103,1033,9633,
Rhode Island,2018,1002024.0,121009,9642,8806,6137,29637,2037,138,1424,2087,1484,104,345,689,239,713,1879,1058,82,265,730,1661,651,893,424,7251,814,1222,481,1775,4531,2566,669,1571,215,3010,401,211,3203,428,0,115,585,
South Carolina,2018,4665835.0,209312,10560,1059,2813,4354,12138,1590,1876,6348,1693,858,3229,90,1143,4066,4086,1133,562,476,1145,2356,1472,1336,974,11555,2365,4396,1183,6514,1213,2285,2018,7757,1156,4724,1020,1199,1497,980,0,690,2200,
South Dakota,2018,803882.0,16103,900,55,247,122,5531,395,95,461,75,767,724,2,56,54,341,229,0,80,1502,623,347,36,59,1551,225,534,54,585,33,389,2304,1191,149,997,33,2281,457,1525,154,10403,222,
Tennessee,2018,6247498.0,254705,11036,1930,2249,2467,12578,3630,889,5296,1242,1018,2124,164,3527,5203,5084,2505,216,1278,4460,8964,4412,2133,2113,14989,4659,7770,419,10339,1910,6529,4009,7726,2562,24200,457,6401,5560,3879,41,889,1769,
Texas,2018,25886326.0,7631379,71096,7833,11527,26431,62283,10836,6269,25001,8543,8362,9555,1871,33341,33454,79200,79371,9554,20841,42211,22746,49983,31265,42747,170446,18733,58077,1098,219569,11698,22182,27339,83962,20384,86165,5457,31951,67034,33162,1266,3036,10250,
Utah,2018,2792485.0,288392,7379,255,2242,10521,8252,1973,1105,3720,840,2469,1168,751,1695,456,2059,1249,725,249,3214,3902,1805,1228,373,14970,5190,4669,157,7665,1574,4021,2649,4878,11582,4577,130,2746,688,1731,7835,2138,1271,
Vermont,2018,595301.0,6451,8371,132,803,216,2200,535,340,759,592,1420,345,126,180,133,182,167,105,155,2306,941,75,0,55,2230,505,425,0,562,56,202,431,507,146,652,209,684,129,329,0,170,381,
Virginia,2018,7903819.0,562347,32784,5442,8461,9888,26166,4277,6354,17760,3890,4975,5226,985,32129,9603,28736,31775,9064,14872,16989,14771,21634,10960,6006,59466,10608,56238,254,49526,6101,10447,12420,46446,4805,53946,1775,37621,22609,5986,131,771,7111,
Washington,2018,6841328.0,579129,22233,1333,4444,6716,27103,4708,2299,58029,4821,5392,28680,1251,8743,3737,28709,6329,18007,3176,10702,22199,10181,9045,5848,106836,26480,46786,1537,62159,16702,13009,9524,60667,31672,16449,3647,35008,5234,8226,389,3142,6195,
West Virginia,2018,1729763.0,17189,2194,265,1424,245,2616,415,404,398,331,63,236,12,761,388,617,530,10,479,792,571,736,218,223,3045,929,423,24,942,10,172,265,1486,404,2373,41,358,513,246,7,174,335,
Wisconsin,2018,5442474.0,249830,9110,493,3474,2300,30329,10883,1755,5522,6216,4698,2662,352,1476,1790,6730,3429,2870,1209,3347,7468,3293,2409,1668,17390,2263,4359,45068,3980,567,3605,5457,5264,1471,8233,868,2611,2895,1514,117,3716,1798,
Wyoming,2018,544566.0,27564,1328,37,375,117,1977,178,80,468,0,21,193,0,74,8,48,49,31,79,130,170,36,89,27,875,450,366,4,69,20,147,20,780,283,416,17,61,178,221,389,2077,273,
Puerto Rico,2018,3229303.0,3051305,1224,107,694,440,278,53,0,61,15,20,7,0,37,51,49,0,0,36,0,63,34,0,0,1105,87,13,0,110,0,0,8,9,13,380,30,0,0,16,0,0,132,
Alabama,2019,,153715,6895,1569,1139,1647,7619,864,729,1967,481,156,950,115,967,2828,2968,2216,504,1073,2148,1314,2295,446,405,9715,1881,9212,148,7657,693,2413,964,3905,1018,5149,281,481,1900,1850,59,847,1378,4583063.0
Alaska,2019,,25099,1664,174,379,172,3144,281,268,5097,321,225,874,16,122,39,115,163,79,66,242,1012,13,54,26,1382,1281,3858,4029,974,82,2035,664,18719,5410,397,160,549,794,484,31,28880,560,683831.0
Arizona,2019,,1352104,16540,720,7106,4125,18623,3188,2590,7376,6552,7248,3967,1385,7423,4455,13803,3029,3729,3094,5836,11907,8677,5813,3895,34874,7628,9997,169,23298,1903,4491,4385,27035,7545,25233,2675,10608,4479,9159,86304,28773,4245,6616331.0
Arkansas,2019,,152982,3438,192,739,831,4286,856,123,780,752,309,697,59,429,1234,1809,917,327,883,815,1342,1659,946,634,5483,1049,1687,1539,5184,367,4319,392,2766,6692,2345,108,72,692,648,8,600,526,2809734.0
California,2019,,10578516,128107,7967,55651,87158,97260,26159,21797,162100,20768,19684,36755,188581,204632,47484,200006,56039,144581,28975,56170,71040,64587,59068,36508,1245965,139383,362578,73280,553119,68350,79565,62204,802368,122339,186382,43453,64675,28995,17160,1438,5846,35324,36831969.0
Colorado,2019,,618013,17844,830,4615,3885,23550,2968,2101,14984,4125,2760,4102,869,5535,1691,7635,1797,1555,1445,6946,7649,4435,3216,2578,24384,6541,13981,2699,20609,2093,5309,6482,8734,5615,11623,2191,14572,6457,5040,2436,1756,4224,5276317.0
Connecticut,2019,,404850,24037,17097,27071,36235,8821,2094,8288,9411,32400,4860,5321,612,1945,7182,13281,7139,1634,5755,5508,15589,6133,6350,3370,29335,3615,6302,132,7389,2253,3099,4143,7406,1037,11816,2233,1369,8091,1916,23,522,9092,3391266.0
Delaware,2019,,63768,2744,4248,1518,714,1849,2272,960,1024,702,220,725,19,621,2592,2840,868,190,1614,829,620,1973,1899,931,7894,288,1814,18,1221,276,458,1257,2567,251,1700,178,234,3082,1956,32,26,632,902418.0
District of Columbia,2019,,58536,8516,910,1494,1636,2647,426,615,1856,375,676,702,252,1455,409,1411,497,240,468,660,1597,171,270,351,5050,901,1512,0,1229,128,144,782,1799,401,2472,649,6154,2327,732,12,92,875,647643.0
Florida,2019,,4312975,105765,427407,45469,120235,62902,17087,19366,48909,23736,16175,20050,2105,11193,21324,27523,17326,2557,13049,10368,36190,12543,8451,11801,76934,12866,19587,1256,64004,5308,15493,14801,66396,9707,58622,22186,4189,10330,4529,232,2072,33532,19773422.0
Georgia,2019,,781531,38925,16673,4836,16730,23137,4512,2473,14158,2522,5802,5636,403,8569,24497,31453,14670,2485,9287,14234,12742,17351,12661,6708,50846,8814,46298,3153,49176,2831,7790,7810,13636,5756,20670,3993,20743,34604,10123,138,699,10037,9747170.0
Hawaii,2019,,30522,3307,242,1134,1524,3016,304,205,1360,522,492,567,109,548,42,711,60,70,30,570,1068,244,178,100,32658,41621,19204,29,8982,402,4445,564,57709,130506,661,594,172,156,164,26,143,9383,1333252.0
Idaho,2019,,130162,2675,61,574,1668,3604,823,142,1735,257,2219,1654,28,574,14,735,27,65,80,1211,1722,222,355,62,4921,1389,706,129,1800,37,1408,621,2438,961,3876,149,332,218,1331,243,2500,557,1603389.0
Illinois,2019,,1621065,36003,5276,30458,8204,33781,6731,29255,43147,173168,28339,40205,1892,7677,47080,46152,51505,6317,5201,16770,49119,21966,14638,17086,106186,14728,41784,463,26619,2955,10860,14642,81194,6415,68566,5466,19410,23955,7794,80,882,6804,12003438.0
Indiana,2019,,289515,11446,1606,2703,2927,31812,29545,3780,4099,4224,4937,4212,134,1545,3704,7954,4049,6282,2009,3102,3692,4098,3471,2084,27980,6209,7383,408,7401,430,2365,19826,8528,2833,12243,1056,2765,8315,3474,60,610,1819,6247018.0
Iowa,2019,,122459,7722,732,1083,1435,10571,5129,368,1788,602,8459,1286,58,563,1273,3001,1227,470,686,3406,1626,2702,996,740,12259,1168,2992,462,8768,917,5505,6754,3144,2088,9083,270,2208,2120,5097,36,1271,884,2943081.0
Kansas,2019,,211519,4338,291,717,2213,10777,2142,240,2160,349,782,879,28,1400,1150,4569,1849,1208,903,3172,1369,4022,1221,1144,11442,2121,3505,1582,12800,1574,5371,3884,3557,2110,5118,331,3370,1516,3835,331,1009,690,2719539.0
Kentucky,2019,,114553,7581,933,1247,1498,13487,6636,511,4026,600,4981,1757,43,1589,3940,3518,1563,418,366,4679,1672,1944,1471,1019,7197,4199,3411,241,4686,1042,1487,4382,4732,1516,8449,259,4665,2838,4511,140,365,958,4174460.0
Louisiana,2019,,163720,84940,4126,2012,2830,4713,637,664,1470,297,741,638,52,858,851,3022,2056,415,441,1877,1569,1025,291,549,9350,1735,2701,71,28292,1001,2749,951,5306,1030,10148,414,877,1578,1292,0,466,841,4356927.0
Maine,2019,,11504,34473,331,839,1585,2735,601,876,910,638,564,809,67,389,140,381,200,12,87,292,1099,177,73,77,3262,660,387,0,955,1408,609,192,1395,385,2167,184,2627,310,1946,11,1190,765,1271457.0
Maryland,2019,,471743,54224,14862,7917,13304,15983,3897,8136,21205,4209,1775,4566,1641,14281,10901,20713,18881,6829,8576,14089,7190,9316,6651,5685,70166,6382,36940,34,21855,2383,5028,10493,32899,4588,19020,5983,31649,52795,12718,98,443,12060,5653980.0
Massachusetts,2019,,592436,53403,86271,30081,194006,15900,3857,21426,40744,16406,4646,8654,6215,6211,12223,26051,7626,4274,7642,14225,24675,9521,10427,5721,135121,8859,16774,596,43102,22048,6344,9222,9072,2895,33534,7121,10252,17008,14721,64,656,7276,6489537.0
Michigan,2019,,280327,20906,1738,14843,6251,32441,11286,5870,11598,17840,11717,12707,2157,4027,9571,20695,14807,7266,20732,9546,33748,15371,8918,9215,50313,12145,15787,5204,14593,823,5144,6841,15487,2740,145135,2325,32239,6556,7005,46,2727,5108,9394171.0
Minnesota,2019,,205634,15479,1526,2023,3265,19060,3080,977,14474,2700,3983,4386,112,2196,1868,9258,3051,1006,2091,6365,7608,6068,5503,3035,23773,4411,5032,64057,22940,5888,9752,16866,7643,2618,15014,1268,83546,12244,10799,39,6277,4834,5211714.0
Mississippi,2019,,67792,3876,304,638,626,2596,615,269,591,268,36,140,0,380,639,1573,551,950,305,991,255,773,453,207,3754,941,1097,9,6599,370,319,225,2953,416,3583,204,305,735,245,20,3914,491,2797771.0
Missouri,2019,,151938,10970,1206,3661,2318,20180,10773,1301,6840,1865,13101,2910,342,1955,2876,5320,3349,1163,1528,3802,4865,4996,1904,2331,23480,2361,6487,1437,13786,742,2400,3727,7911,4153,13648,889,6471,3985,6055,134,940,1496,5733340.0
Montana,2019,,14903,1955,49,504,333,6257,886,137,728,162,114,349,9,126,0,128,68,13,6,135,647,16,0,0,1151,681,436,85,289,0,269,170,1182,402,633,335,36,140,118,125,6981,687,989614.0
Nebraska,2019,,133473,3982,251,563,1106,4421,567,308,1766,630,930,1278,44,1069,188,1998,466,130,341,3478,2348,1747,981,591,5209,1358,1627,235,6528,144,1889,6278,1755,934,5774,86,3945,1193,3477,31,791,519,1783098.0
Nevada,2019,,591714,8763,635,4122,4311,7843,1628,1638,5458,1513,3541,3564,3500,4299,873,4576,1681,2306,1368,2104,4387,742,892,839,31292,6063,10754,212,9724,1093,6318,1849,80467,9825,4451,2651,12653,1434,1774,657,2366,2297,2788848.0
New Hampshire,2019,,30292,18153,519,1417,3987,3253,585,1953,1812,965,1032,928,107,343,745,1789,390,103,313,4154,1957,2153,1464,809,5703,840,1413,7,2363,499,1717,675,2093,1068,3078,503,506,755,1828,3,142,831,1284281.0
New Jersey,2019,,1371956,35847,52174,61875,79236,19597,9531,20418,50149,56328,6852,20941,4401,6396,78583,78454,31843,16231,24466,22740,20874,31089,26470,17482,119447,10744,75617,15,16953,1104,2971,18668,76139,5262,67877,16100,4650,34733,6855,17,989,15696,8358979.0
New Mexico,2019,,523639,4603,180,988,652,5124,731,539,1167,493,195,374,51,1189,452,1016,714,154,505,672,1267,668,169,132,5135,1521,1576,14,4376,0,1125,720,4139,971,2872,473,130,1013,1189,64953,32751,723,1966304.0
New York,2019,,2758925,129382,147951,149710,44248,54922,169669,61238,218526,83464,32012,36742,7075,25304,18176,61606,73704,34831,124962,31764,82512,10124,11181,30345,587279,33085,98713,311,23753,3761,11358,53955,75333,9761,105028,63370,15179,90443,11511,191,4177,34585,18418118.0
