ISO_639,Language_Name,Uninverted_Name,Country_Code,Country_Name,Region_Code,Region_Name,Area,L1_Users,Digits,All_Users,Countries,Family,Classification,Latitude,Longitude,EGIDS,Is_Written,Institutional,Developing,Vigorous,In_Trouble,Dying,Extinct
alc,Qawasqar,Qawasqar,CL,Chile,SAM,South America,Americas,12,2,12,1,Kaweskaran,Kaweskaran,-49.703,-75.3756,8b,F,0,0,0,0,1,0
ald,Alladian,Alladian,CI,Côte d’Ivoire,WAF,Western Africa,Africa,23000,5,23000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Avikam-Alladian",5.2239,-4.4152,5,T,0,1,0,0,0,0
ale,Aleut,Aleut,US,United States,NAM,Northern America,Americas,155,3,155,2,Eskimo-Aleut,"Eskimo-Aleut, Aleut",55.069,166.2263,7,T,0,0,0,1,0,0
alf,Alege,Alege,NG,Nigeria,WAF,Western Africa,Africa,16300,5,16300,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Bendi",6.5416,9.0329,6a,F,0,0,1,0,0,0
alh,Alawa,Alawa,AU,Australia,ANZ,Australia and New Zealand,Pacific,12,2,12,1,Australian,"Australian, Gunwingguan, Maran, Alawic",-15.5376,134.3392,8b,F,0,0,0,0,1,0
ali,Amaimon,Amaimon,PG,Papua New Guinea,MEL,Melanesia,Pacific,1780,4,1780,1,Trans-New Guinea,"Trans-New Guinea, Madang, Croisilles, Pihom, Amaimon",-5.2046,145.3726,6a,T,0,0,1,0,0,0
alj,Alangan,Alangan,PH,Philippines,SEA,South-Eastern Asia,Asia,2150,4,2150,1,Austronesian,"Austronesian, Malayo-Polynesian, Philippine, North Mangyan",13.0802,121.0104,5,T,0,1,0,0,0,0
alk,Alak,Alak,LA,Laos,SEA,South-Eastern Asia,Asia,4000,4,4000,1,Austro-Asiatic,"Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, Central Bahnaric",15.557,106.6058,6a,F,0,0,1,0,0,0
all,Allar,Allar,IN,India,SAS,Southern Asia,Asia,350,3,350,1,Dravidian,"Dravidian, Unclassified",11.1678,76.4125,6b,T,0,0,0,1,0,0
alm,Amblong,Amblong,VU,Vanuatu,MEL,Melanesia,Pacific,150,3,150,1,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",-15.5081,166.9436,6b,F,0,0,0,1,0,0
aln,"Albanian, Gheg",Gheg Albanian,AL,Albania,SEU,Southern Europe,Europe,1821480,7,1821480,7,Indo-European,"Indo-European, Albanian, Gheg",42.0452,20.4354,2,T,1,0,0,0,0,0
alo,Larike-Wakasihu,Larike-Wakasihu,ID,Indonesia,SEA,South-Eastern Asia,Asia,12600,5,12600,1,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Maluku, East, Seram, Nunusaku, Piru Bay, West, Hoamoal",-3.7652,127.9561,6b,T,0,0,0,1,0,0
alp,Alune,Alune,ID,Indonesia,SEA,South-Eastern Asia,Asia,17200,5,17200,1,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Maluku, East, Seram, Nunusaku, Three Rivers, Amalumute, Northwest Seram, Ulat Inai",-3.0916,128.3985,5,T,0,1,0,0,0,0
alq,Algonquin,Algonquin,CA,Canada,NAM,Northern America,Americas,1760,4,1760,1,Algic,"Algic, Algonquian, Ojibwa-Potawatomi",47.3888,-77.523,6b,T,0,0,0,1,0,0
alr,Alutor,Alutor,RU,Russian Federation,EEU,Eastern Europe,Europe,25,2,25,1,Chukotko-Kamchatkan,"Chukotko-Kamchatkan, Northern, Koryak-Alyutor",60.3918,165.6357,8b,F,0,0,0,0,1,0
als,"Albanian, Tosk",Tosk Albanian,AL,Albania,SEU,Southern Europe,Europe,1841400,7,1841400,3,Indo-European,"Indo-European, Albanian, Tosk",40.5425,20.1523,1,T,1,0,0,0,0,0
alt,"Altai, Southern",Southern Altai,RU,Russian Federation,EEU,Eastern Europe,Europe,57400,5,57400,1,Turkic,"Turkic, Northern",50.5639,85.4365,2,T,1,0,0,0,0,0
alu,’Are’are,’Are’are,SB,Solomon Islands,MEL,Melanesia,Pacific,17900,5,17900,1,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Southern",-9.207,161.1582,5,T,0,1,0,0,0,0
alw,Alaba-K’abeena,Alaba-K’abeena,ET,Ethiopia,EAF,Eastern Africa,Africa,287000,6,316700,1,Afro-Asiatic,"Afro-Asiatic, Cushitic, East, Highland",7.3996,38.1838,4,T,1,0,0,0,0,0
alx,Amol,Amol,PG,Papua New Guinea,MEL,Melanesia,Pacific,270,3,270,1,Torricelli,"Torricelli, Wapei-Palei, Palei",-3.4577,142.5414,6b,F,0,0,0,1,0,0
aly,Alyawarr,Alyawarr,AU,Australia,ANZ,Australia and New Zealand,Pacific,1660,4,1660,1,Australian,"Australian, Pama-Nyungan, Arandic",-21.1271,136.452,5,T,0,1,0,0,0,0
