state,year,total_pop,languageRank1,numSpeakers1,languageRank2,numSpeakers2,languageRank3,numSpeakers3,languageRank4,numSpeakers4,languageRank5,numSpeakers5
Kansas,2018,2714574,Spanish,209025,Vietnamese,13207,"Chinese (incl. Mandarin, Cantonese)",10728,German,10406,"Thai, Lao, or other Tai-Kadai languages",5199
Kentucky,2018,4165764,Spanish,111393,German,13845,Arabic,8096,French (incl. Cajun),7224,"Chinese (incl. Mandarin, Cantonese)",7076
Louisiana,2018,4354277,Spanish,161432,French (incl. Cajun),89943,Vietnamese,28941,Arabic,9834,"Chinese (incl. Mandarin, Cantonese)",8707
Maine,2018,1268376,French (incl. Cajun),35752,Spanish,11461,"Chinese (incl. Mandarin, Cantonese)",3480,German,2846,Arabic,2508
Maryland,2018,5637261,Spanish,450150,"Chinese (incl. Mandarin, Cantonese)",69447,French (incl. Cajun),52157,"Yoruba, Twi, Igbo, or other languages of Western Africa",48569,Korean,38017
Massachusetts,2018,6467512,Spanish,581553,Portuguese,190569,"Chinese (incl. Mandarin, Cantonese)",134582,Haitian,81696,French (incl. Cajun),54927
Michigan,2018,9385114,Spanish,279967,Arabic,138749,"Chinese (incl. Mandarin, Cantonese)",50366,"Amharic, Somali, or other Afro-Asiatic languages",33265,German,32315
Minnesota,2018,5175618,Spanish,200863,"Amharic, Somali, or other Afro-Asiatic languages",77738,Hmong,62881,"Chinese (incl. Mandarin, Cantonese)",23981,Vietnamese,23106
Mississippi,2018,2800187,Spanish,68037,Vietnamese,5725,Other Native languages of North America,3710,"Chinese (incl. Mandarin, Cantonese)",3700,French (incl. Cajun),3452
Missouri,2018,5717130,Spanish,145831,"Chinese (incl. Mandarin, Cantonese)",21988,German,19451,Vietnamese,13451,Serbo-Croatian,12585
Montana,2018,979922,Spanish,14762,Other Native languages of North America,6433,German,6418,French (incl. Cajun),1983,"Chinese (incl. Mandarin, Cantonese)",1378
Nebraska,2018,1772948,Spanish,131151,Vietnamese,6961,Other languages of Asia,6224,Arabic,5387,"Chinese (incl. Mandarin, Cantonese)",4887
Nevada,2018,2740538,Spanish,583289,Tagalog (incl. Filipino),79356,"Chinese (incl. Mandarin, Cantonese)",29334,"Amharic, Somali, or other Afro-Asiatic languages",11726,Korean,10927
New Hampshire,2018,1279543,Spanish,27776,French (incl. Cajun),18524,"Chinese (incl. Mandarin, Cantonese)",5611,"Nepali, Marathi, or other Indic languages",4346,Portuguese,3288
New Jersey,2018,8360161,Spanish,1356058,"Chinese (incl. Mandarin, Cantonese)",119432,Tagalog (incl. Filipino),77800,Gujarati,77005,Korean,76921
New Mexico,2018,1964077,Spanish,535918,Navajo,64819,Other Native languages of North America,33020,German,5869,"Chinese (incl. Mandarin, Cantonese)",5067
New York,2018,18454847,Spanish,2769603,"Chinese (incl. Mandarin, Cantonese)",578865,Russian,216638,"Yiddish, Pennsylvania Dutch or other West Germanic languages",163024,Italian,157840
North Carolina,2018,9552431,Spanish,716899,"Chinese (incl. Mandarin, Cantonese)",36635,French (incl. Cajun),27518,Arabic,23405,Vietnamese,23205
North Dakota,2018,699381,Spanish,12684,German,6258,French (incl. Cajun),2122,"Nepali, Marathi, or other Indic languages",2067,"Amharic, Somali, or other Afro-Asiatic languages",1908
Ohio,2018,10945946,Spanish,250520,"Yiddish, Pennsylvania Dutch or other West Germanic languages",51220,"Chinese (incl. Mandarin, Cantonese)",46268,German,45729,Arabic,44747
Oklahoma,2018,3654145,Spanish,259532,Vietnamese,17206,Other Native languages of North America,14295,"Chinese (incl. Mandarin, Cantonese)",10231,German,7516
Oregon,2018,3850016,Spanish,350236,"Chinese (incl. Mandarin, Cantonese)",31001,Vietnamese,25995,Russian,20986,German,14548
Pennsylvania,2018,12081931,Spanish,592883,"Chinese (incl. Mandarin, Cantonese)",88410,"Yiddish, Pennsylvania Dutch or other West Germanic languages",74189,German,43885,Russian,39418
Rhode Island,2018,1002024,Spanish,121009,Portuguese,29637,French (incl. Cajun),9642,Haitian,8806,"Chinese (incl. Mandarin, Cantonese)",7251
South Carolina,2018,4665835,Spanish,209312,German,12138,"Chinese (incl. Mandarin, Cantonese)",11555,French (incl. Cajun),10560,Tagalog (incl. Filipino),7757
South Dakota,2018,803882,Spanish,16103,Other Native languages of North America,10403,German,5531,Other languages of Asia,2304,"Amharic, Somali, or other Afro-Asiatic languages",2281
Tennessee,2018,6247498,Spanish,254705,Arabic,24200,"Chinese (incl. Mandarin, Cantonese)",14989,German,12578,French (incl. Cajun),11036
Texas,2018,25886326,Spanish,7631379,Vietnamese,219569,"Chinese (incl. Mandarin, Cantonese)",170446,Arabic,86165,Tagalog (incl. Filipino),83962
Utah,2018,2792485,Spanish,288392,"Chinese (incl. Mandarin, Cantonese)",14970,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",11582,Portuguese,10521,German,8252
Vermont,2018,595301,French (incl. Cajun),8371,Spanish,6451,"Nepali, Marathi, or other Indic languages",2306,"Chinese (incl. Mandarin, Cantonese)",2230,German,2200
Virginia,2018,7903819,Spanish,562347,"Chinese (incl. Mandarin, Cantonese)",59466,Korean,56238,Arabic,53946,Vietnamese,49526
Washington,2018,6841328,Spanish,579129,"Chinese (incl. Mandarin, Cantonese)",106836,Vietnamese,62159,Tagalog (incl. Filipino),60667,Russian,58029
West Virginia,2018,1729763,Spanish,17189,"Chinese (incl. Mandarin, Cantonese)",3045,German,2616,Arabic,2373,French (incl. Cajun),2194
Wisconsin,2018,5442474,Spanish,249830,Hmong,45068,German,30329,"Chinese (incl. Mandarin, Cantonese)",17390,"Yiddish, Pennsylvania Dutch or other West Germanic languages",10883
Wyoming,2018,544566,Spanish,27564,Other Native languages of North America,2077,German,1977,French (incl. Cajun),1328,"Chinese (incl. Mandarin, Cantonese)",875
Puerto Rico,2018,3229303,Spanish,3051305,French (incl. Cajun),1224,"Chinese (incl. Mandarin, Cantonese)",1105,Italian,694,Portuguese,440
Alabama,2019,4583063,Spanish,153715,"Chinese (incl. Mandarin, Cantonese)",9715,Korean,9212,Vietnamese,7657,German,7619
Alaska,2019,683831,Other Native languages of North America,28880,Spanish,25099,Tagalog (incl. Filipino),18719,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",5410,Russian,5097
Arizona,2019,6616331,Spanish,1352104,Navajo,86304,"Chinese (incl. Mandarin, Cantonese)",34874,Other Native languages of North America,28773,Tagalog (incl. Filipino),27035
Arkansas,2019,2809734,Spanish,152982,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",6692,"Chinese (incl. Mandarin, Cantonese)",5483,Vietnamese,5184,"Thai, Lao, or other Tai-Kadai languages",4319
California,2019,36831969,Spanish,10578516,"Chinese (incl. Mandarin, Cantonese)",1245965,Tagalog (incl. Filipino),802368,Vietnamese,553119,Korean,362578
Colorado,2019,5276317,Spanish,618013,"Chinese (incl. Mandarin, Cantonese)",24384,German,23550,Vietnamese,20609,French (incl. Cajun),17844
Connecticut,2019,3391266,Spanish,404850,Portuguese,36235,Polish,32400,"Chinese (incl. Mandarin, Cantonese)",29335,Italian,27071
Delaware,2019,902418,Spanish,63768,"Chinese (incl. Mandarin, Cantonese)",7894,Haitian,4248,"Yoruba, Twi, Igbo, or other languages of Western Africa",3082,Hindi,2840
District of Columbia,2019,647643,Spanish,58536,French (incl. Cajun),8516,"Amharic, Somali, or other Afro-Asiatic languages",6154,"Chinese (incl. Mandarin, Cantonese)",5050,German,2647
Florida,2019,19773422,Spanish,4312975,Haitian,427407,Portuguese,120235,French (incl. Cajun),105765,"Chinese (incl. Mandarin, Cantonese)",76934
Georgia,2019,9747170,Spanish,781531,"Chinese (incl. Mandarin, Cantonese)",50846,Vietnamese,49176,Korean,46298,French (incl. Cajun),38925
Hawaii,2019,1333252,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",130506,Tagalog (incl. Filipino),57709,Japanese,41621,"Chinese (incl. Mandarin, Cantonese)",32658,Spanish,30522
Idaho,2019,1603389,Spanish,130162,"Chinese (incl. Mandarin, Cantonese)",4921,Arabic,3876,German,3604,French (incl. Cajun),2675
Illinois,2019,12003438,Spanish,1621065,Polish,173168,"Chinese (incl. Mandarin, Cantonese)",106186,Tagalog (incl. Filipino),81194,Arabic,68566
Indiana,2019,6247018,Spanish,289515,German,31812,"Yiddish, Pennsylvania Dutch or other West Germanic languages",29545,"Chinese (incl. Mandarin, Cantonese)",27980,Other languages of Asia,19826
Iowa,2019,2943081,Spanish,122459,"Chinese (incl. Mandarin, Cantonese)",12259,German,10571,Arabic,9083,Vietnamese,8768
Kansas,2019,2719539,Spanish,211519,Vietnamese,12800,"Chinese (incl. Mandarin, Cantonese)",11442,German,10777,"Thai, Lao, or other Tai-Kadai languages",5371
