language,Country_Name,Num_Speakers,Latitude,Longitude,EGIDS,Is_Written,Institutional,Developing,In_Trouble,Dying,Extinct,Language_Status
Southern Tiwa,United States,1600.0,34.8656,-106.6497,6b,T,0,0,1,0,0,In_Trouble
Tlingit,United States,502.0,59.3966,-136.0763,8a,T,0,0,0,1,0,Dying
Tolowa,United States,2.0,41.9193,-124.1029,8b,F,0,0,0,1,0,Dying
Jemez,United States,1790.0,35.6001,-106.7695,6b,T,0,0,1,0,0,In_Trouble
Tenino,United States,50.0,44.8344,-121.4635,7,F,0,0,1,0,0,In_Trouble
Tonkawa,United States,,35.0183,-97.8902,9,F,0,0,0,1,0,Dying
Tübatulabal,United States,5.0,35.6097,-118.4692,8b,F,0,0,0,1,0,Dying
Tunica,United States,,31.1262,-92.0673,9,F,0,0,0,1,0,Dying
Tututni,United States,0.0,42.5756,-124.0688,x10,F,0,0,0,0,1,Extinct
Twana,United States,,47.3344,-123.1607,9,F,0,0,0,1,0,Dying
Northern Tiwa,United States,1070.0,36.4251,-105.6105,7,T,0,0,1,0,0,In_Trouble
Umatilla,United States,25.0,45.6391,-118.5517,8a,F,0,0,0,1,0,Dying
Unami,United States,,39.13,-76.0253,9,F,0,0,0,1,0,Dying
Ute-Southern Paiute,United States,920.0,40.0965,-110.3055,6b,T,0,0,1,0,0,In_Trouble
Ventureño,United States,,34.2809,-119.2979,9,F,0,0,0,1,0,Dying
Valley Maidu,United States,0.0,38.8055,-120.7809,x10,F,0,0,0,0,1,Extinct
Walla Walla,United States,25.0,45.7191,-118.4099,8a,F,0,0,0,1,0,Dying
Wasco-Wishram,United States,58.0,45.0325,-121.5048,8b,F,0,0,0,1,0,Dying
Wampanoag,United States,,41.9356,-70.6342,9,T,0,0,0,1,0,Dying
Wappo,United States,3.0,38.25,-122.5,8b,F,0,0,0,1,0,Dying
Washo,United States,10.0,38.8659,-119.5506,8b,T,0,0,0,1,0,Dying
Wichita,United States,1.0,35.0687,-98.1815,8b,F,0,0,0,1,0,Dying
Ho-Chunk,United States,250.0,42.2123,-96.6195,8a,T,0,0,0,1,0,Dying
Wiyot,United States,,40.5984,-124.2519,9,T,0,0,0,1,0,Dying
Wailaki,United States,0.0,40.188,-123.6477,x10,F,0,0,0,0,1,Extinct
Wintu,United States,,40.8128,-123.0318,9,F,0,0,0,1,0,Dying
Wyandot,United States,,36.7923,-94.7229,9,F,0,0,0,1,0,Dying
Kawaiisu,United States,5.0,36.0511,-118.6723,8b,F,0,0,0,1,0,Dying
Narragansett,United States,,41.4225,-71.6486,9,F,0,0,0,1,0,Dying
Mohegan-Pequot,United States,,41.4468,-72.0319,9,F,0,0,0,1,0,Dying
Yakama,United States,25.0,46.2676,-120.771,8b,F,0,0,0,1,0,Dying
Yokuts,United States,50.0,36.3223,-119.73,8a,F,0,0,0,1,0,Dying
Yuchi,United States,16.0,35.9648,-95.037,8b,F,0,0,0,1,0,Dying
Havasupai-Walapai-Yavapai,United States,1600.0,35.9155,-113.1297,6b,T,0,0,1,0,0,In_Trouble
Yuki,United States,,37.4336,-118.5908,9,F,0,0,0,1,0,Dying
Quechan,United States,150.0,32.79,-114.6182,7,F,0,0,1,0,0,In_Trouble
Yurok,United States,12.0,41.3383,-123.8275,8b,T,0,0,0,1,0,Dying
Zuni,United States,9650.0,35.0263,-108.7735,6b,T,0,0,1,0,0,In_Trouble
