"Column Name","Label"
"B16001_046M","Margin of Error!!Total!!Gujarati!!Speak English "very well""
"B16001_047E","Estimate!!Total!!Gujarati!!Speak English less than "very well""
"B16001_047M","Margin of Error!!Total!!Gujarati!!Speak English less than "very well""
"B16001_048E","Estimate!!Total!!Hindi"
"B16001_048M","Margin of Error!!Total!!Hindi"
"B16001_049E","Estimate!!Total!!Hindi!!Speak English "very well""
"B16001_049M","Margin of Error!!Total!!Hindi!!Speak English "very well""
"B16001_050E","Estimate!!Total!!Hindi!!Speak English less than "very well""
"B16001_050M","Margin of Error!!Total!!Hindi!!Speak English less than "very well""
"B16001_051E","Estimate!!Total!!Urdu"
"B16001_051M","Margin of Error!!Total!!Urdu"
"B16001_052E","Estimate!!Total!!Urdu!!Speak English "very well""
"B16001_052M","Margin of Error!!Total!!Urdu!!Speak English "very well""
"B16001_053E","Estimate!!Total!!Urdu!!Speak English less than "very well""
"B16001_053M","Margin of Error!!Total!!Urdu!!Speak English less than "very well""
"B16001_054E","Estimate!!Total!!Punjabi"
"B16001_054M","Margin of Error!!Total!!Punjabi"
"B16001_055E","Estimate!!Total!!Punjabi!!Speak English "very well""
"B16001_055M","Margin of Error!!Total!!Punjabi!!Speak English "very well""
"B16001_056E","Estimate!!Total!!Punjabi!!Speak English less than "very well""
"B16001_056M","Margin of Error!!Total!!Punjabi!!Speak English less than "very well""
"B16001_057E","Estimate!!Total!!Bengali"
"B16001_057M","Margin of Error!!Total!!Bengali"
"B16001_058E","Estimate!!Total!!Bengali!!Speak English "very well""
"B16001_058M","Margin of Error!!Total!!Bengali!!Speak English "very well""
"B16001_059E","Estimate!!Total!!Bengali!!Speak English less than "very well""
"B16001_059M","Margin of Error!!Total!!Bengali!!Speak English less than "very well""
"B16001_060E","Estimate!!Total!!Nepali, Marathi, or other Indic languages"
"B16001_060M","Margin of Error!!Total!!Nepali, Marathi, or other Indic languages"
"B16001_061E","Estimate!!Total!!Nepali, Marathi, or other Indic languages!!Speak English "very well""
"B16001_061M","Margin of Error!!Total!!Nepali, Marathi, or other Indic languages!!Speak English "very well""
"B16001_062E","Estimate!!Total!!Nepali, Marathi, or other Indic languages!!Speak English less than "very well""
"B16001_062M","Margin of Error!!Total!!Nepali, Marathi, or other Indic languages!!Speak English less than "very well""
"B16001_063E","Estimate!!Total!!Other Indo-European languages"
"B16001_063M","Margin of Error!!Total!!Other Indo-European languages"
"B16001_064E","Estimate!!Total!!Other Indo-European languages!!Speak English "very well""
"B16001_064M","Margin of Error!!Total!!Other Indo-European languages!!Speak English "very well""
"B16001_065E","Estimate!!Total!!Other Indo-European languages!!Speak English less than "very well""
"B16001_065M","Margin of Error!!Total!!Other Indo-European languages!!Speak English less than "very well""
"B16001_066E","Estimate!!Total!!Telugu"
"B16001_066M","Margin of Error!!Total!!Telugu"
"B16001_067E","Estimate!!Total!!Telugu!!Speak English "very well""
"B16001_067M","Margin of Error!!Total!!Telugu!!Speak English "very well""
"B16001_068E","Estimate!!Total!!Telugu!!Speak English less than "very well""
"B16001_068M","Margin of Error!!Total!!Telugu!!Speak English less than "very well""
"B16001_069E","Estimate!!Total!!Tamil"
"B16001_069M","Margin of Error!!Total!!Tamil"
"B16001_070E","Estimate!!Total!!Tamil!!Speak English "very well""
"B16001_070M","Margin of Error!!Total!!Tamil!!Speak English "very well""
"B16001_071E","Estimate!!Total!!Tamil!!Speak English less than "very well""
"B16001_071M","Margin of Error!!Total!!Tamil!!Speak English less than "very well""
"B16001_072E","Estimate!!Total!!Malayalam, Kannada, or other Dravidian languages"
"B16001_072M","Margin of Error!!Total!!Malayalam, Kannada, or other Dravidian languages"
"B16001_073E","Estimate!!Total!!Malayalam, Kannada, or other Dravidian languages!!Speak English "very well""
"B16001_073M","Margin of Error!!Total!!Malayalam, Kannada, or other Dravidian languages!!Speak English "very well""
"B16001_074E","Estimate!!Total!!Malayalam, Kannada, or other Dravidian languages!!Speak English less than "very well""
"B16001_074M","Margin of Error!!Total!!Malayalam, Kannada, or other Dravidian languages!!Speak English less than "very well""
"B16001_075E","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)"
"B16001_075M","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)"
"B16001_076E","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English "very well""
"B16001_076M","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English "very well""
